site	site_name	footprint	standard
SOR	South River		
BAR	Barnstable		
PEG	Peggotty Beach		
WEL	Wellfleet Bay		
RED	Red River		
OTH	Old Town Hill	site footprint/OTH_100ac_Mask_24Mar23.shp	Orthomosaics/22Sept18_OTH_High_Mica_Ortho.tif
ESS	Essex Bay		
NOR	North River		
WES	Westport	footprint/WES_100ac_Mask_24Mar23.shp	Orthomosaics/05Oct20_WES_Low_Mica_Ortho.tif
